time [min],activity [decays/min],,,,
1.702,797.7377478,,,,
3.404,691.4597981,,,,
5.106,709.7795994,,,,
6.808,538.1341497,,,,
8.51,542.8713641,,,,
10.212,411.3369806,,,,
11.914,413.5740529,,,,
13.616,343.1396413,,,,
15.318,277.6912461,,,,
17.02,257.2963036,,,,
18.722,212.6309258,,,,
20.424,171.6536791,,,,
22.126,156.7340919,,,,
23.828,130.8916781,,,,
25.53,113.2828929,,,,
27.232,115.5291629,,,,
28.934,100.9321118,,,,
30.636,77.36982768,,,,
32.338,78.20931645,,,,
34.04,68.47804888,,,,
35.742,58.0325116,,,,
37.444,47.2179173,,,,
39.146,37.87775194,,,,
40.848,37.66423232,,,,
42.55,28.16384282,,,,
44.252,25.55976029,,,,
45.954,22.75626891,,,,
47.656,22.52830601,,,,
49.358,18.07730633,,,,
51.06,16.47427683,,,,
52.762,12.976942,,,,
54.464,11.55054642,,,,
56.166,11.33475661,,,,
57.868,8.655759971,,,,
59.57,8.308474376,,,,
61.272,7.443384382,,,,
62.974,5.918916561,,,,
64.676,5.383999046,,,,
66.378,4.105253637,,,,
68.08,3.995006337,,,,
,,,,,
,,,,,
,,,,,
Data for parts 11 and 14,,,,,
predicted time [min],38.295,,,,
Alternative measurements,,,,,
t [min],17.02,,,,
activities [decays/min],275.0266497,255.0311768,293.8473708,267.1938408,242.3487616
