time [sec],activity [decays/sec],,,,
3.4524,844.5078397,,,,
6.9048,699.3629027,,,,
10.3572,719.7295284,,,,
13.8096,536.5853963,,,,
17.262,526.1578666,,,,
20.7144,394.0489782,,,,
24.1668,402.8157251,,,,
27.6192,313.9367681,,,,
31.0716,258.8098717,,,,
34.524,235.3279814,,,,
37.9764,231.5077504,,,,
41.4288,184.1591956,,,,
44.8812,154.8935514,,,,
48.3336,142.7962514,,,,
51.786,115.4310174,,,,
55.2384,107.3251748,,,,
58.6908,86.43409809,,,,
62.1432,75.85345314,,,,
65.5956,74.59567787,,,,
69.048,64.64298162,,,,
72.5004,56.29123459,,,,
75.9528,49.47367111,,,,
79.4052,44.3730857,,,,
82.8576,34.65132233,,,,
86.31,30.42869227,,,,
89.7624,25.87139434,,,,
93.2148,23.66172123,,,,
96.6672,22.38562109,,,,
100.1196,16.95753391,,,,
103.572,16.7069434,,,,
107.0244,14.2460345,,,,
110.4768,11.38497087,,,,
113.9292,10.49766163,,,,
117.3816,8.236985204,,,,
120.834,7.883656896,,,,
124.2864,6.589462409,,,,
127.7388,6.319223366,,,,
131.1912,5.612966603,,,,
134.6436,4.441181546,,,,
138.096,3.596573052,,,,
,,,,,
,,,,,
,,,,,
Data for parts 11 and 14,,,,,
predicted time [sec],77.679,,,,
Alternative measurements,,,,,
t [sec],34.524,,,,
activities [decays/sec],214.0995395,229.1018178,213.6263503,208.3313869,294.4574017
