time [hour],activity [decays/hour],,,,
2.472,921.6134821,,,,
4.944,713.6047333,,,,
7.416,703.5477741,,,,
9.888,629.9259752,,,,
12.36,509.37385,,,,
14.832,398.4119941,,,,
17.304,356.8387967,,,,
19.776,351.3331934,,,,
22.248,270.5166786,,,,
24.72,232.4347302,,,,
27.192,208.3983061,,,,
29.664,205.8778239,,,,
32.136,176.183318,,,,
34.608,137.9182081,,,,
37.08,120.9934374,,,,
39.552,100.4551228,,,,
42.024,96.21082947,,,,
44.496,76.51307323,,,,
46.968,69.56325844,,,,
49.44,61.46840475,,,,
51.912,52.15579083,,,,
54.384,49.33449003,,,,
56.856,44.35968801,,,,
59.328,38.38246368,,,,
61.8,33.30976485,,,,
64.272,28.58634912,,,,
66.744,25.35721465,,,,
69.216,19.46392496,,,,
71.688,16.38968991,,,,
74.16,15.19410416,,,,
76.632,14.44669749,,,,
79.104,10.73973045,,,,
81.576,10.69662588,,,,
84.048,8.257550492,,,,
86.52,7.936198297,,,,
88.992,6.829882072,,,,
91.464,5.354784438,,,,
93.936,5.591335342,,,,
96.408,4.576132875,,,,
98.88,4.078562837,,,,
,,,,,
,,,,,
,,,,,
Data for parts 11 and 14,,,,,
predicted time [hour],55.62,,,,
Alternative measurements,,,,,
t [hour],24.72,,,,
activities [decays/hour],258.5261616,259.5178779,239.2466025,218.252466,296.9052439
