time [day],activity [decays/day],,,,
0.76,856.3969534,,,,
1.52,689.4751199,,,,
2.28,653.6755222,,,,
3.04,609.1645006,,,,
3.8,457.124064,,,,
4.56,421.8637452,,,,
5.32,352.2215828,,,,
6.08,354.5345117,,,,
6.84,284.1635038,,,,
7.6,246.0020579,,,,
8.36,236.2335835,,,,
9.12,181.3529373,,,,
9.88,149.5903428,,,,
10.64,146.6911005,,,,
11.4,115.4587595,,,,
12.16,102.3312007,,,,
12.92,103.2181523,,,,
13.68,78.55849482,,,,
14.44,68.13064999,,,,
15.2,59.99832522,,,,
15.96,59.70098873,,,,
16.72,42.72471966,,,,
17.48,44.05207164,,,,
18.24,38.26104992,,,,
19,30.97015462,,,,
19.76,26.64296288,,,,
20.52,25.69142889,,,,
21.28,19.10366766,,,,
22.04,19.40746525,,,,
22.8,14.63991058,,,,
23.56,13.87277,,,,
24.32,11.75255917,,,,
25.08,10.51186709,,,,
25.84,8.749155774,,,,
26.6,7.118084521,,,,
27.36,7.033982289,,,,
28.12,5.501514575,,,,
28.88,5.258419517,,,,
29.64,4.689553529,,,,
30.4,3.977501298,,,,
,,,,,
,,,,,
,,,,,
Data for parts 11 and 14,,,,,
predicted time [day],17.1,,,,
Alternative measurements,,,,,
t [day],7.6,,,,
activities [decays/day],242.5119231,204.9652917,296.8015556,292.0048672,211.8152487
