time [year],activity [decays/year],,,,
1146,952.7182023,,,,
2292,790.6201252,,,,
3438,675.8679104,,,,
4584,566.3083795,,,,
5730,532.3178804,,,,
6876,417.1213312,,,,
8022,380.4202331,,,,
9168,320.1722331,,,,
10314,308.7450834,,,,
11460,264.0288203,,,,
12606,208.8954831,,,,
13752,188.465679,,,,
14898,163.2762605,,,,
16044,133.1617206,,,,
17190,128.5016655,,,,
18336,111.6652482,,,,
19482,101.2743719,,,,
20628,83.13382708,,,,
21774,66.03111282,,,,
22920,63.78015777,,,,
24066,55.68830979,,,,
25212,49.59412619,,,,
26358,41.74574835,,,,
27504,34.52960653,,,,
28650,29.08794756,,,,
29796,29.27216779,,,,
30942,23.07927823,,,,
32088,20.26597061,,,,
33234,18.07983498,,,,
34380,15.86520025,,,,
35526,14.68223891,,,,
36672,12.79007954,,,,
37818,10.9344959,,,,
38964,9.133384961,,,,
40110,7.577893331,,,,
41256,7.098523244,,,,
42402,6.126350923,,,,
43548,5.165606312,,,,
44694,4.38333346,,,,
45840,3.647631206,,,,
,,,,,
,,,,,
,,,,,
Data for parts 11 and 14,,,,,
predicted time [year],25785,,,,
Alternative measurements,,,,,
t [year],11460,,,,
activities [decays/year],278.1048077,248.3644459,228.681547,204.0947416,294.3808073
